,ID,Lat,Long,Label,Airport,Conventions,Entertainment,Fitness,Food,Government,Health,Hotels,Nightlife,Outdoor,Residence,School,Shops,Transports,University,Work,Total,Cost
0,0001,44.410671,8.928417999999999,1,0.0,5.0,39.0,8.0,40.0,11.0,8.0,34.0,38.0,38.0,17.0,8.0,33.0,23.0,22.0,27.0,351.0,1210.0
1,0003,44.413353,8.926338000000001,1,0.0,1.0,27.0,3.0,31.0,5.0,3.0,42.0,28.0,32.0,14.0,7.0,32.0,24.0,45.0,24.0,318.0,1210.0
2,0004,44.414719,8.924177,1,0.0,1.0,28.0,1.0,44.0,4.0,3.0,40.0,25.0,26.0,9.0,3.0,27.0,36.0,43.0,23.0,313.0,1210.0
3,0005,44.415524,8.922028,1,0.0,0.0,18.0,0.0,37.0,3.0,3.0,39.0,16.0,19.0,5.0,1.0,26.0,37.0,44.0,19.0,267.0,1210.0
4,0006,44.415496999999995,8.91949,1,0.0,0.0,13.0,0.0,47.0,2.0,4.0,39.0,13.0,17.0,5.0,1.0,27.0,33.0,34.0,14.0,249.0,1210.0
5,0007,44.414341,8.913108,1,0.0,1.0,4.0,1.0,29.0,1.0,3.0,6.0,3.0,9.0,2.0,1.0,26.0,16.0,8.0,8.0,118.0,1275.0
6,0008,44.413555,8.911274,1,0.0,1.0,2.0,2.0,30.0,3.0,3.0,6.0,2.0,10.0,2.0,2.0,34.0,10.0,8.0,11.0,126.0,1275.0
7,0009,44.410469,8.905462,1,0.0,4.0,4.0,1.0,37.0,5.0,2.0,4.0,4.0,6.0,3.0,2.0,21.0,11.0,3.0,27.0,134.0,1225.0
8,0010,44.409126,8.900817,1,0.0,3.0,7.0,3.0,42.0,5.0,5.0,4.0,6.0,7.0,5.0,5.0,31.0,9.0,1.0,30.0,163.0,1225.0
9,0011,44.409058,8.896314,1,0.0,1.0,5.0,3.0,38.0,1.0,15.0,2.0,5.0,7.0,2.0,8.0,24.0,10.0,2.0,25.0,148.0,785.0
10,0012,44.410545,8.891861,1,0.0,0.0,4.0,2.0,43.0,3.0,21.0,4.0,8.0,8.0,1.0,5.0,34.0,24.0,3.0,13.0,173.0,785.0
11,0013,44.411910999999996,8.887004,1,0.0,1.0,7.0,5.0,44.0,2.0,18.0,4.0,12.0,13.0,3.0,6.0,39.0,26.0,6.0,21.0,207.0,1025.0
12,0014,44.414124,8.883791,1,1.0,1.0,13.0,6.0,45.0,0.0,12.0,2.0,7.0,17.0,4.0,5.0,41.0,29.0,3.0,30.0,216.0,845.0
13,0015,44.414883,8.881797,1,1.0,1.0,13.0,3.0,37.0,0.0,7.0,0.0,6.0,13.0,3.0,5.0,35.0,16.0,2.0,26.0,168.0,845.0
14,0016,44.416160999999995,8.874476,1,0.0,0.0,4.0,5.0,23.0,1.0,6.0,1.0,0.0,5.0,1.0,1.0,24.0,5.0,2.0,11.0,89.0,780.0
15,0017,44.415894,8.871611999999999,1,0.0,0.0,4.0,5.0,22.0,1.0,6.0,1.0,0.0,4.0,1.0,1.0,25.0,5.0,1.0,5.0,81.0,780.0
16,0018,44.415539,8.867747999999999,1,0.0,0.0,3.0,4.0,15.0,1.0,6.0,1.0,0.0,3.0,0.0,1.0,19.0,4.0,0.0,1.0,58.0,780.0
17,0019,44.415333000000004,8.865022,0,0.0,0.0,0.0,3.0,10.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,17.0,2.0,0.0,1.0,39.0,780.0
18,0020,44.420128000000005,8.85876,0,1.0,0.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,14.0,2.0,1.0,5.0,43.0,1325.0
19,0021,44.421318,8.857109,1,1.0,0.0,2.0,3.0,25.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,15.0,4.0,1.0,12.0,70.0,1325.0
20,0022,44.423404999999995,8.852964,1,1.0,0.0,4.0,6.0,40.0,2.0,7.0,1.0,6.0,9.0,5.0,1.0,21.0,13.0,3.0,17.0,136.0,1325.0
21,0023,44.422309999999996,8.849436,1,1.0,0.0,5.0,5.0,36.0,2.0,8.0,3.0,10.0,7.0,5.0,1.0,22.0,13.0,2.0,18.0,138.0,1325.0
22,0024,44.423138,8.846321000000001,1,0.0,0.0,6.0,6.0,45.0,3.0,13.0,1.0,11.0,8.0,4.0,1.0,27.0,14.0,2.0,15.0,156.0,1325.0
23,0025,44.4244,8.844149,1,0.0,0.0,5.0,6.0,39.0,1.0,13.0,1.0,11.0,7.0,2.0,1.0,20.0,12.0,2.0,9.0,129.0,1325.0
24,0026,44.426167,8.843225,1,0.0,0.0,3.0,5.0,42.0,1.0,11.0,1.0,9.0,6.0,1.0,1.0,27.0,6.0,2.0,10.0,125.0,1325.0
25,0027,44.426838000000004,8.840454,1,0.0,0.0,2.0,5.0,32.0,2.0,8.0,1.0,6.0,5.0,0.0,0.0,28.0,5.0,0.0,8.0,102.0,1325.0
