stop_id,stop_name,stop_desc,stop_lat,stop_lon
0001,CARICAMENTO/ACQUARIO,0001,44.410671,8.928418
0003,GRAMSCI 1/METRO' DARSENA,0003,44.413353,8.926338
0004,GRAMSCI 2/STATUTO,0004,44.414719,8.924177
0005,GRAMSCI 3/COMMENDA,0005,44.415524,8.922028
0006,MARITTIMA/PRINCIPE FS,0006,44.415497,8.919490
0007,BUOZZI 1/PIAZZA SAN TEODORO,0007,44.414341,8.913108
0008,BUOZZI 2/METRO' DINEGRO,0008,44.413555,8.911274
0009,FRANCIA 2/MATITONE,0009,44.410469,8.905462
0010,FRANCIA 3/STAZIONE FS,0010,44.409126,8.900817
0011,BURANELLO 1/BARABINO,0011,44.409058,8.896314
0012,BURANELLO 2/GIOVANETTI,0012,44.410545,8.891861
0013,AVIO 1/MOLTENI,0013,44.411911,8.887004
0014,PACINOTTI/FIUMARA,0014,44.414124,8.883791
0015,PIERAGOSTINI/FIUMARA,0015,44.414883,8.881797
0016,CORNIGLIANO 1/GIARDINI MELIS,0016,44.416161,8.874476
0017,CORNIGLIANO 2/RIZZOLIO,0017,44.415894,8.871612
0018,CORNIGLIANO 3/PIAZZA CONTI,0018,44.415539,8.867748
0019,CORNIGLIANO 4/STAZIONE FS,0019,44.415333,8.865022
0020,SIFFREDI 2/ACCIAIO,0020,44.420128,8.858760
0021,SIFFREDI 3/CALCINARA,0021,44.421318,8.857109
0022,HERMADA/MENOTTI,0022,44.423405,8.852964
0023,PUCCINI 1/AEROPORTO,0023,44.422310,8.849436
0024,PUCCINI 2/SESTRI FS,0024,44.423138,8.846321
0025,SOLIMAN/CERRUTI,0025,44.424400,8.844149
0026,MERANO 1/VILLA ROSSI,0026,44.426167,8.843225
0027,MERANO 2/MONFALCONE,0027,44.426838,8.840454
0028,MERANO 3/AMIU,0028,44.427467,8.835768
0029,MULTEDO/VILLA CHIESA,0029,44.426220,8.830168
0030,RONCHI/VIGILI DEL FUOCO,0030,44.425667,8.826967
0031,LUNGOMARE DI PEGLI 1/VARENNA,0031,44.424885,8.821196
0032,LUNGOMARE2/FS-MUSEIPALLAVICINI,0032,44.424919,8.816158
0033,PEGLI 1/PORTICCIOLO,0033,44.424641,8.812321
0034,PEGLI 2/RISVEGLIO,0034,44.423584,8.807083
0035,PEGLI 4/LIDO,0035,44.424404,8.801941
0036,PEGLI 5/CASTELLUCCIO,0036,44.424843,8.799378
0037,PRA' 2/FERRIERE,0037,44.425941,8.793636
0038,PRA' 3/PRA' FS,0038,44.426579,8.789221
0039,PRA' 5/CORDANIERI,0039,44.427071,8.785978
0040,PRA' 6/LAURA,0040,44.427517,8.779722
0041,PRA' 7/PALMARO CENTRO,0041,44.427505,8.773957
0042,PRA' 8/DE MARI,0042,44.427868,8.771554
0043,PRA' 9/VILLA PODESTA',0043,44.428131,8.766548
0044,PRA' 10/VERRINA,0044,44.428413,8.762185
0045,VOLTRI/VOLTRI FS,0045,44.428898,8.759127
0046,VERITA'/VOLTRI FS,0046,44.428482,8.755344
0047,CAMOZZINI 1/VILLA DUCHESSA,0047,44.428448,8.750944
0048,CAMOZZINI 2/PRATI,0048,44.428612,8.747858
0049,CAMOZZINI 3/CADUTI,0049,44.428143,8.745120
0050,CAMOZZINI/CAPOLINEA,0050,44.427376,8.743212
0051,CAMOZZINI 2/CADUTI,0051,44.428169,8.745475
0052,CAMOZZINI 3/ODICINI,0052,44.428463,8.749455
0053,CAMOZZINI 4/VILLA DUCHESSA,0053,44.428284,8.751525
0054,VERITA'/VOLTRI FS,0054,44.428379,8.755668
0055,VOLTRI/VOLTRI FS,0055,44.428684,8.760027
0056,PRA' 1/VERRINA,0056,44.428131,8.763851
0057,PRA' 2/VILLA PODESTA',0057,44.427986,8.767262
0058,PRA' 3/DE MARI,0058,44.427792,8.771286
0059,PRA' 4/PALMARO CENTRO,0059,44.427322,8.774429
0060,PRA' 5/LAURA,0060,44.427330,8.779619
